,filename,label,dir,length,rate
0,c01fl_nr_kal002_2.wav,kalyani,train,3.0,16000
1,c02fl_nr_kal002_2.wav,kalyani,train,3.0,16000
2,c03fl_nr_kal002_2.wav,kalyani,train,3.0,16000
3,c04fl_nr_kal002_2.wav,kalyani,train,3.0,16000
4,c05fl_nr_kal002_2.wav,kalyani,train,3.0,16000
5,c06fl_nr_kal002_2.wav,kalyani,train,3.0,16000
6,c07fl_nr_kal002_2.wav,kalyani,train,3.0,16000
7,c08fl_nr_kal002_2.wav,kalyani,train,3.0,16000
8,c09fl_nr_kal002_2.wav,kalyani,train,3.0,16000
9,c010fl_nr_kal002_2.wav,kalyani,train,3.0,16000
10,c011fl_nr_kal002_2.wav,kalyani,train,3.0,16000
11,c012fl_nr_kal002_2.wav,kalyani,train,3.0,16000
12,c01fl_nr_kal002_3.wav,kalyani,train,3.0,16000
13,c02fl_nr_kal002_3.wav,kalyani,train,3.0,16000
14,c03fl_nr_kal002_3.wav,kalyani,train,3.0,16000
15,c04fl_nr_kal002_3.wav,kalyani,train,3.0,16000
16,c05fl_nr_kal002_3.wav,kalyani,train,3.0,16000
17,c06fl_nr_kal002_3.wav,kalyani,train,3.0,16000
18,c07fl_nr_kal002_3.wav,kalyani,train,3.0,16000
19,c08fl_nr_kal002_3.wav,kalyani,train,3.0,16000
20,c09fl_nr_kal002_3.wav,kalyani,train,3.0,16000
21,c010fl_nr_kal002_3.wav,kalyani,train,3.0,16000
22,c011fl_nr_kal002_3.wav,kalyani,train,3.0,16000
23,c012fl_nr_kal002_3.wav,kalyani,train,3.0,16000
24,c013fl_nr_kal002_3.wav,kalyani,train,3.0,16000
25,c01fl_nr_kal002_1.wav,kalyani,train,3.0,16000
26,c02fl_nr_kal002_1.wav,kalyani,train,3.0,16000
27,c03fl_nr_kal002_1.wav,kalyani,train,3.0,16000
28,c04fl_nr_kal002_1.wav,kalyani,train,3.0,16000
29,c05fl_nr_kal002_1.wav,kalyani,train,3.0,16000
30,c06fl_nr_kal002_1.wav,kalyani,train,3.0,16000
31,c07fl_nr_kal002_1.wav,kalyani,train,3.0,16000
32,c08fl_nr_kal002_1.wav,kalyani,train,3.0,16000
33,c09fl_nr_kal002_1.wav,kalyani,train,3.0,16000
34,c010fl_nr_kal002_1.wav,kalyani,train,3.0,16000
35,c011fl_nr_kal002_1.wav,kalyani,train,3.0,16000
36,c012fl_nr_kal002_1.wav,kalyani,train,3.0,16000
37,c01fl_nr_kal002_4.wav,kalyani,train,3.0,16000
38,c02fl_nr_kal002_4.wav,kalyani,train,3.0,16000
39,c03fl_nr_kal002_4.wav,kalyani,train,3.0,16000
40,c04fl_nr_kal002_4.wav,kalyani,train,3.0,16000
41,c05fl_nr_kal002_4.wav,kalyani,train,3.0,16000
42,c06fl_nr_kal002_4.wav,kalyani,train,3.0,16000
43,c07fl_nr_kal002_4.wav,kalyani,train,3.0,16000
44,c08fl_nr_kal002_4.wav,kalyani,train,3.0,16000
45,c09fl_nr_kal002_4.wav,kalyani,train,3.0,16000
46,c010fl_nr_kal002_4.wav,kalyani,train,3.0,16000
47,c011fl_nr_kal002_4.wav,kalyani,train,3.0,16000
48,c01fl_nr_kal002_5.wav,kalyani,train,3.0,16000
49,c02fl_nr_kal002_5.wav,kalyani,train,3.0,16000
50,c03fl_nr_kal002_5.wav,kalyani,train,3.0,16000
51,c04fl_nr_kal002_5.wav,kalyani,train,3.0,16000
52,c05fl_nr_kal002_5.wav,kalyani,train,3.0,16000
53,c06fl_nr_kal002_5.wav,kalyani,train,3.0,16000
54,c07fl_nr_kal002_5.wav,kalyani,train,3.0,16000
55,c08fl_nr_kal002_5.wav,kalyani,train,3.0,16000
56,c09fl_nr_kal002_5.wav,kalyani,train,3.0,16000
57,c010fl_nr_kal002_5.wav,kalyani,train,3.0,16000
58,c01vee_ss_kal001_12.wav,kalyani,train,3.0,16000
59,c02vee_ss_kal001_12.wav,kalyani,train,3.0,16000
60,c03vee_ss_kal001_12.wav,kalyani,train,3.0,16000
61,c04vee_ss_kal001_12.wav,kalyani,train,3.0,16000
62,c05vee_ss_kal001_12.wav,kalyani,train,3.0,16000
63,c06vee_ss_kal001_12.wav,kalyani,train,3.0,16000
64,c07vee_ss_kal001_12.wav,kalyani,train,3.0,16000
65,c08vee_ss_kal001_12.wav,kalyani,train,3.0,16000
66,c01fl_smc_kal004_3.wav,kalyani,train,3.0,16000
67,c02fl_smc_kal004_3.wav,kalyani,train,3.0,16000
68,c03fl_smc_kal004_3.wav,kalyani,train,3.0,16000
69,c04fl_smc_kal004_3.wav,kalyani,train,3.0,16000
70,c05fl_smc_kal004_3.wav,kalyani,train,3.0,16000
71,c06fl_smc_kal004_3.wav,kalyani,train,3.0,16000
72,c07fl_smc_kal004_3.wav,kalyani,train,3.0,16000
73,c08fl_smc_kal004_3.wav,kalyani,train,3.0,16000
74,c09fl_smc_kal004_3.wav,kalyani,train,3.0,16000
75,c010fl_smc_kal004_3.wav,kalyani,train,3.0,16000
76,c011fl_smc_kal004_3.wav,kalyani,train,3.0,16000
77,c012fl_smc_kal004_3.wav,kalyani,train,3.0,16000
78,c013fl_smc_kal004_3.wav,kalyani,train,3.0,16000
79,c01fl_nr_kal002_12.wav,kalyani,train,3.0,16000
80,c02fl_nr_kal002_12.wav,kalyani,train,3.0,16000
81,c03fl_nr_kal002_12.wav,kalyani,train,3.0,16000
82,c04fl_nr_kal002_12.wav,kalyani,train,3.0,16000
83,c05fl_nr_kal002_12.wav,kalyani,train,3.0,16000
84,c06fl_nr_kal002_12.wav,kalyani,train,3.0,16000
85,c07fl_nr_kal002_12.wav,kalyani,train,3.0,16000
86,c08fl_nr_kal002_12.wav,kalyani,train,3.0,16000
87,c09fl_nr_kal002_12.wav,kalyani,train,3.0,16000
88,c010fl_nr_kal002_12.wav,kalyani,train,3.0,16000
89,c011fl_nr_kal002_12.wav,kalyani,train,3.0,16000
90,c012fl_nr_kal002_12.wav,kalyani,train,3.0,16000
91,c01fl_nr_kal002_13.wav,kalyani,train,3.0,16000
92,c02fl_nr_kal002_13.wav,kalyani,train,3.0,16000
93,c03fl_nr_kal002_13.wav,kalyani,train,3.0,16000
94,c04fl_nr_kal002_13.wav,kalyani,train,3.0,16000
95,c05fl_nr_kal002_13.wav,kalyani,train,3.0,16000
96,c06fl_nr_kal002_13.wav,kalyani,train,3.0,16000
97,c07fl_nr_kal002_13.wav,kalyani,train,3.0,16000
98,c08fl_nr_kal002_13.wav,kalyani,train,3.0,16000
99,c09fl_nr_kal002_13.wav,kalyani,train,3.0,16000
100,c010fl_nr_kal002_13.wav,kalyani,train,3.0,16000
101,c011fl_nr_kal002_13.wav,kalyani,train,3.0,16000
102,c012fl_nr_kal002_13.wav,kalyani,train,3.0,16000
103,c013fl_nr_kal002_13.wav,kalyani,train,3.0,16000
104,c01vee_eg_kal_r11.wav,kalyani,train,3.0,16000
105,c02vee_eg_kal_r11.wav,kalyani,train,3.0,16000
106,c03vee_eg_kal_r11.wav,kalyani,train,3.0,16000
107,c04vee_eg_kal_r11.wav,kalyani,train,3.0,16000
